0.295363  0.0215807  2.01059  0.0362456
0.3394  0.0264164  2.08822  0.0284239
0.325898  0.02268  2.16401  0.0449083
0.327178  0.0230207  2.15637  0.048767
0.246109  0.0118757  2.25838  0.0830952
0.272311  0.0136107  2.33413  0.07636
0.226554  0.00884714  2.40864  0.0979598
0.224876  0.00768272  2.56558  0.0967866
0.234567  0.00810957  2.60476  0.0921348
0.17483  0.00390883  2.79635  0.112714
0.22047  0.00649885  2.73483  0.119749
0.171476  0.00344585  2.92115  0.139563
0.22313  0.00586777  2.91287  0.119
0.231691  0.00655285  2.86217  0.099161
0.18097  0.0034426  3.08435  0.115087
0.228673  0.00597597  2.95808  0.105265
0.228544  0.00570213  3.02657  0.11595
0.149818  0.002285  3.13415  0.16732
