200  1.2  1.80485  0.17  0.08  756058  5.14906e+06  438896  532671
250  1.2  1.79612  0.22  0.1  859139  5.1668e+06  522122  591515
300  1.2  1.87229  0.22  0.11  936909  5.29289e+06  559866  539164
350  1.2  1.94139  0.21  0.1  842287  4.57568e+06  525122  471880
400  1.2  1.99604  0.17  0.09  827222  4.37522e+06  525454  443085
450  1.2  2.03612  0.17  0.08  809197  4.17895e+06  539788  448536
500  1.2  2.06665  0.16  0.08  875173  4.44114e+06  587544  468655
550  1.2  2.08912  0.15  0.07  1.1093e+06  1.02141e+07  768586  1123469
600  1.2  2.10211  0.15  0.07  1.09784e+06  1.02133e+07  770403  1138179
650  1.2  2.09627  0.15  0.06  1.05032e+06  9.8196e+06  760967  1172982
700  1.2  2.08948  0.15  0.05  1.04423e+06  9.48792e+06  770743  1183906
750  1.2  2.08381  0.16  0.05  998029  9.15285e+06  738211  1153222
800  1.2  2.07782  0.16  0.05  976715  8.68381e+06  720705  1095148
850  1.2  2.06309  0.15  0.05  957996  8.607e+06  705745  1097445
900  1.2  2.00084  0.16  0.04  918824  8.22522e+06  681212  1129335
950  1.2  1.91011  0.15  0.04  937872  8.15703e+06  667347  1131956
1000  1.2  1.82445  0.17  0.03  921043  7.81298e+06  642187  1141080
