200  1.2  1.7  0.48  0.17  757656  5.14547e+06  415179  534628
250  1.2  1.82191  0.54  0.15  860638  5.16913e+06  490680  506195
300  1.2  1.91764  0.56  0.13  841894  4.76689e+06  506945  470012
350  1.2  1.99511  0.53  0.12  888298  4.8287e+06  551670  467882
400  1.2  2.0532  0.55  0.1  896517  4.74214e+06  590981  488811
450  1.2  2.09523  0.52  0.09  786488  4.06186e+06  533469  425691
500  1.2  2.12282  0.52  0.08  1.07145e+06  5.43598e+06  744612  582591
550  1.2  2.14804  0.52  0.07  1.04425e+06  5.21253e+06  745593  575921
600  1.2  2.16279  0.49  0.07  1.09951e+06  1.02035e+07  788173  1120888
650  1.2  2.16644  0.32  0.06  787640  3.82722e+06  571495  429297
700  1.2  2.17491  0.33  0.06  650890  3.12713e+06  470163  344940
750  1.2  2.16725  0.35  0.05  710435  3.38659e+06  517403  382432
800  1.2  2.16176  0.37  0.05  675880  3.19215e+06  488356  356618
850  1.2  2.14582  0.39  0.04  606034  2.84116e+06  441698  327769
900  1.2  2.1103  0.29  0.04  685354  3.18785e+06  494965  373361
950  1.2  2.02121  0.17  0.04  654396  3.02106e+06  455359  358066
1000  1.2  1.94034  0.16  0.03  435172  1.99448e+06  293071  240269
