200  1.2  1.70734  0.49  0.13  397969  2.70947e+06  243569  348169
250  1.2  1.81671  0.4  0.17  452099  2.72163e+06  234698  222233
300  1.2  1.95207  0.66  0.15  468215  2.64668e+06  264718  222018
350  1.2  2.05345  0.66  0.14  467981  2.54314e+06  270397  201348
400  1.2  2.12303  0.68  0.12  459350  2.42989e+06  280281  200712
450  1.2  2.16502  0.69  0.1  449949  2.32268e+06  289326  204887
500  1.2  2.20839  0.71  0.09  437939  2.21956e+06  288254  197169
550  1.2  2.24154  0.71  0.09  426108  2.12694e+06  278813  181238
600  1.2  2.2613  0.73  0.08  1.09857e+06  1.0139e+07  726916  868147
650  1.2  2.25545  0.72  0.08  404211  1.96442e+06  259387  159018
700  1.2  2.24496  0.74  0.07  393894  1.89451e+06  250271  151754
750  1.2  2.24096  0.72  0.07  383195  1.83195e+06  235496  137775
800  1.2  2.22526  0.76  0.06  375529  1.77551e+06  230487  135072
850  1.2  2.22889  0.74  0.06  368704  1.72135e+06  221763  125347
900  1.2  2.18238  0.74  0.06  360733  1.67513e+06  210987  120317
950  1.2  2.10517  0.76  0.05  353934  1.63111e+06  206592  125398
1000  1.2  2.02889  0.8  0.04  347212  1.59431e+06  204774  134715
